id,name,formatted_address,lat,lng,types,rating,user_rating_count,price_level
ChIJU7lviSNP0xQRIeUL70IhROM,Melike Hatun Mosque,"Hacı Bayram, Atatürk Blv No:19, 06050 Altındağ/Ankara, Türkiye",39.936628999999996,32.8554672,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.7,2369,
ChIJ9ROSaihP0xQR1N6CEat9Igo,Alparslan Türkeş Kabri,"Emniyet, 06560 Yenimahalle/Ankara, Türkiye",39.9319279,32.8180608,"[""historical_landmark"", ""cemetery"", ""monument"", ""historical_place"", ""point_of_interest"", ""service"", ""establishment""]",4.8,2067,
ChIJ4fanSJRP0xQRouTLWPAmvkc,Papazın Bağı,"Kazım Özalp, Kuleli Sokağı No:61, 06700 Çankaya/Ankara, Türkiye",39.894388899999996,32.872448,"[""family_restaurant"", ""historical_landmark"", ""tea_house"", ""restaurant"", ""food"", ""historical_place"", ""point_of_interest"", ""establishment""]",3.7,1640,PRICE_LEVEL_MODERATE
ChIJXcRfumBO0xQRKeqwUsZpvkU,Suluhan Caravanserai,"Hacı Bayram, 06050 Altındağ/Ankara, Türkiye",39.939526,32.858418199999996,"[""historical_landmark"", ""inn"", ""lodging"", ""historical_place"", ""point_of_interest"", ""establishment""]",4.5,1224,
ChIJR59LBD9O0xQR-CwFEAjKMjA,Cebeci Mosque,"Ertuğrulgazi, Kutlugün Cd. No:23, 06590 Çankaya/Ankara, Türkiye",39.9296395,32.8784336,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.7,713,
ChIJoauFU-oJgkARQ7fhyi87djs,Bağlum Merkez Camii,"Karşıyaka, Hatipoğlu Cd. No:10, 06291 Keçiören/Ankara, Türkiye",40.0513629,32.842852,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.7,614,
ChIJQ8W0bVlM0xQRyIInDp7wxhs,Dilek Cami,"Esertepe, 06020 Keçiören/Ankara, Türkiye",39.9966667,32.8386111,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.7,590,
ChIJ3c8uBPNL0xQRs0QHk1qOeNc,Şentepe Muradiye Camii,"Şehit Kubilay, Değirmendere Cd. No:20, 06210 Keçiören/Ankara, Türkiye",39.9919697,32.800633999999995,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.7,575,
ChIJ-VMMSABP0xQREaRRLms9U6o,"Anıtkabir, Atatürk ve Mozole","Mebusevleri, 06570 Çankaya/Ankara, Türkiye",39.925722,32.837942999999996,"[""historical_landmark"", ""historical_place"", ""point_of_interest"", ""establishment""]",4.9,532,
ChIJs-oU_g1M0xQR26GWDuybSd8,Ayvali Merkez Camii,"Ayvalı, Ayvalı Cd. No:139, 06010 Keçiören/Ankara, Türkiye",39.983501,32.8193759,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.7,500,
ChIJV3tcYIRO0xQRuxE_PEIN4i8,İskitler Mosque,"Zübeyde Hanım, 06060 Altındağ/Ankara, Türkiye",39.955719699999996,32.8452492,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.6,442,
