id,name,formatted_address,lat,lng,types,rating,user_rating_count
ChIJDVmYwzZ30xQR42E3F-VQrcg,Kurugöl Akaryakıt,"Bezirhane Mh, Ankara Konya Yolu, 06830 Gölbaşı/Ankara, Türkiye",39.5038402,32.8716304,"[""gas_station"", ""point_of_interest"", ""establishment""]",1,1
ChIJSRpBhnF30xQRxSazCR26TTs,ÖZCAN YAPI MARKET,"Bezirhane, Küme evleri no 214+, 06830 Gölbaşı/Ankara, Türkiye",39.496639699999996,32.873104,"[""store"", ""point_of_interest"", ""establishment""]",4.2,5
ChIJiUVvXBF30xQRNK6cElRmUcc,Sanoil,"Bezirhane, Ankara Konya Yolu No:14, 06830 Gölbaşı/Ankara, Türkiye",39.487124099999996,32.869523,"[""gas_station"", ""point_of_interest"", ""establishment""]",3.4,9
ChIJ0YctxTZ30xQRu3QMGDWCOqA,Türk Park,"Bezirhane, 06830 Gölbaşı/Ankara, Türkiye",39.503774,32.87133,"[""gas_station"", ""point_of_interest"", ""establishment""]",,
ChIJywhnphZ30xQRuVrFBKq9xB0,Yıldızlar SSS Holding,"Bezirhane, Ankara Konya Yolu No:38, 06830 Gölbaşı/Ankara, Türkiye",39.488023999999996,32.870221799999996,"[""car_repair"", ""point_of_interest"", ""establishment""]",,
ChIJFwdM7SF30xQRRoyYfNniu3Q,Güçlü Bey Konağı,"Bezirhane, FVP4+4R, 06830 Gölbaşı/Ankara, Türkiye",39.4853008,32.8570256,"[""point_of_interest"", ""establishment""]",,
ChIJpTkLvSt30xQRJ1JcCXG6co4,Özcan Besi Çiftliği,"Bezirhane, FVWF+JH, 06830 Gölbaşı/Ankara, Türkiye",39.4966169,32.8739117,"[""ranch"", ""farm"", ""food"", ""point_of_interest"", ""government_office"", ""establishment""]",,
ChIJw6gH8Dd30xQRqOn-XbCMp2k,Serpme evler,"Bezirhane, 06830 Gölbaşı/Ankara, Türkiye",39.496583799999996,32.87423,"[""store"", ""point_of_interest"", ""establishment""]",,
ChIJa_Kf4o170xQRwXzL2Hz9lMo,Golden Gate çiftliği,"Ankara, Yöreli, küme evleri no :195, 06000 Bala/Ankara, Türkiye",39.51157320000001,32.9669496,"[""ranch"", ""farm"", ""point_of_interest"", ""establishment""]",5,3
ChIJkyWnGmp80xQR6tyG3IDaeC0,Yeniköy Mezarlığı,"Yeniköy, 06720 Balâ/Ankara, Türkiye",39.488414999999996,33.0105899,"[""cemetery"", ""point_of_interest"", ""establishment""]",5,4
ChIJR9uHUol90xQR0mEmYSMG54U,Bala Detay Halı yıkama,"Yeniköy, Küme evler no. 17/A, 06720 Bala/Ankara, Türkiye",39.492447899999995,33.0155472,"[""laundry"", ""point_of_interest"", ""establishment""]",5,2
ChIJ_8TedPx90xQRsn_MJGZ8eQ0,Biyotem Tarım Ve Hayvancılık Çiftliği,"Abazlı, Küme evleri No:416 1-2, 06720 Bala/Ankara, Türkiye",39.5127101,33.0618061,"[""ranch"", ""farm"", ""point_of_interest"", ""establishment""]",5,2
ChIJU-gRYTqD1BQR0jGuIzCiD0s,Çiğdemli Cami,"Çiğdemli, 06720 Balâ/Ankara, Türkiye",39.488731,33.1382689,"[""mosque"", ""place_of_worship"", ""point_of_interest"", ""establishment""]",5,5
ChIJ0Xq05CSD1BQRDF6FWYR6vdw,Besi Çiftliği,"Çiğdemli, 06720 Balâ/Ankara, Türkiye",39.488814999999995,33.1330568,"[""farm"", ""point_of_interest"", ""establishment""]",3,2
